day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
1,0,SQUID_INK,1834,23,,,,,1838,23,,,,,1836,0
1,0,RAINFOREST_RESIN,9998,9,9995,23,,,10005,23,,,,,10001.5,0
1,0,KELP,2032,23,,,,,2035,23,,,,,2033.5,0
1,100,KELP,2034,1,2033,2,2032,22,2035,22,,,,,2034.5,0
1,100,SQUID_INK,1837,1,1836,2,1835,22,1839,22,,,,,1838,0
1,100,RAINFOREST_RESIN,10002,1,10000,2,9998,4,10004,1,10005,21,,,10003,0
1,200,RAINFOREST_RESIN,9996,1,9995,21,,,10004,1,10005,21,,,10000,2
1,200,KELP,2032,22,,,,,2035,22,,,,,2033.5,0.631713867
1,200,SQUID_INK,1832,22,,,,,1835,22,,,,,1833.5,3.1796875
1,300,KELP,2034,1,2032,26,,,2035,26,,,,,2034.5,1.344970703
1,300,SQUID_INK,1836,1,1834,26,,,1837,26,,,,,1836.5,0.262451172
1,300,RAINFOREST_RESIN,9995,26,,,,,10005,26,,,,,10000,2
1,400,SQUID_INK,1833,28,,,,,1836,28,,,,,1834.5,4.096191406
1,400,RAINFOREST_RESIN,9998,8,9996,2,9995,26,10004,2,10005,26,,,10001,2
1,400,KELP,2032,28,,,,,2035,28,,,,,2033.5,1.987304688
1,500,KELP,2032,24,,,,,2034,3,2035,24,,,2033,1.897460938
1,500,SQUID_INK,1834,24,,,,,1836,3,1837,24,,,1835,0.960449219
1,500,RAINFOREST_RESIN,9998,8,9996,1,9995,23,10004,1,10005,23,,,10001,2
1,600,RAINFOREST_RESIN,9996,2,9995,28,,,10004,2,10005,28,,,10000,2
1,600,KELP,2033,5,2032,30,,,2035,30,,,,,2034,0
1,600,SQUID_INK,1834,5,1832,30,,,1835,30,,,,,1834.5,-1
1,700,KELP,2032,22,,,,,2035,23,,,,,2033.5,2.849609375
1,700,SQUID_INK,1834,22,,,,,1837,1,1838,22,,,1835.5,30.21289063
1,700,RAINFOREST_RESIN,9996,1,9995,22,,,10004,1,10005,22,,,10000,2
1,800,SQUID_INK,1836,25,,,,,1837,3,1839,25,,,1836.5,43.71484375
1,800,RAINFOREST_RESIN,9996,1,9995,24,,,10000,3,10004,1,10005,24,9998,2
1,800,KELP,2032,25,,,,,2033,3,2035,25,,,2032.5,2.306640625
1,900,SQUID_INK,1840,21,,,,,1843,21,,,,,1841.5,100.3183594
1,900,KELP,2031,21,,,,,2035,21,,,,,2033,0.703125
1,900,RAINFOREST_RESIN,9996,1,9995,20,,,9998,11,10004,1,10005,20,9997,2
1,1000,RAINFOREST_RESIN,9996,1,9995,30,,,10004,1,10005,30,,,10000,24
1,1000,KELP,2032,31,,,,,2035,31,,,,,2033.5,14.50634766
1,1000,SQUID_INK,1841,31,,,,,1844,31,,,,,1842.5,106.8476563
1,1100,SQUID_INK,1840,22,,,,,1843,22,,,,,1841.5,100.1835938
